,NetworkRisk
2022-07-14,0.0037608565517623024
2022-07-15,-0.021068511678893547
2022-07-16,-0.005937619531980902
2022-07-17,-0.02032400236104085
2022-07-18,-0.004336942516004949
2022-07-19,-0.008237577381043512
2022-07-20,0.04176877277863895
2022-07-21,0.0184784265094636
2022-07-22,-0.0279688731493008
2022-07-23,-0.01447426939788685
2022-07-24,0.0039897566782478
2022-07-25,-0.00407617247047155
2022-07-26,-0.01180530849360921
2022-07-27,-0.00238754593914215
2022-07-28,-0.002720767377759295
2022-07-29,0.0067702689539347535
2022-07-30,-0.0001305109081731503
2022-07-31,0.0097403090744946
2022-08-01,-0.012130567474647401
2022-08-02,0.0160110965273832
2022-08-03,-0.017742149345219897
2022-08-04,-0.0054710309478583
2022-08-05,0.0079885981551999
2022-08-06,-0.0036447045470683025
2022-08-07,-0.00350658643611205
2022-08-08,0.0038093431597734
2022-08-09,0.0076229351286762025
2022-08-10,0.030575136481496602
2022-08-11,-0.01648804258956085
2022-08-12,0.0006772468865009775
2022-08-13,0.009746118315317399
2022-08-14,-0.0170912344892507
2022-08-15,0.05988737507846685
2022-08-16,-0.029901468451517102
2022-08-17,0.05692377569230516
2022-08-18,-0.020158541914878654
2022-08-19,-0.013296260123976097
2022-08-20,0.016663321869475
2022-08-21,0.00226349536443975
2022-08-22,-0.0068970763466762505
2022-08-23,-0.02160268521300915
2022-08-24,-0.003876548310661152
2022-08-25,0.0087819364109845
2022-08-26,0.0011060358891585506
2022-08-27,0.0038708781431290584
2022-08-28,-0.019271453516764448
2022-08-29,-0.002109296910932198
2022-08-30,-0.029166173032033803
2022-08-31,-0.002414371494479352
2022-09-01,-0.0109877198364798
2022-09-02,-0.011838057035790703
2022-09-03,-0.0097172994328942
2022-09-04,0.007764210118522601
2022-09-05,-0.019806792029180047
2022-09-06,-0.016834835504958852
2022-09-07,-0.03573230793676185
2022-09-08,0.0058322476306902
2022-09-09,-0.0020842355749837002
2022-09-10,0.04845938537265224
2022-09-11,-0.002954922982437897
2022-09-12,-0.0013375539258537019
2022-09-13,0.0284324903451289
2022-09-14,-0.042597290803522495
2022-09-15,-0.003316552096979052
2022-09-16,0.016672014792845198
2022-09-17,0.03075959722454255
2022-09-18,0.010325238664606
2022-09-19,-0.010270845298964909
2022-09-20,-0.00182495395134415
2022-09-21,0.0005968641291841
2022-09-22,0.010136361575396123
2022-09-23,0.013490745404999099
2022-09-24,0.025498947890984797
2022-09-25,-0.004888052787821446
2022-09-26,-0.010933764930969451
2022-09-27,-0.004530516502693651
2022-09-28,-0.006554725046552551
2022-09-29,0.00457167699399055
2022-09-30,0.007458212710544849
2022-10-01,0.0059965531671196505
2022-10-02,-0.004176802118517951
2022-10-03,-0.005903313381983348
2022-10-04,0.005385462765536853
2022-10-05,0.04869634302060774
2022-10-06,-0.011082661663069399
2022-10-07,-0.01608839829147625
2022-10-08,-0.0141118230044549
2022-10-09,0.0011778671422807002
